endpoint,logh_perc,n,ratio
phecode_164,4,44,0.06258890469416785
phecode_164,5,56,0.07965860597439545
phecode_164,6,62,0.08819345661450925
phecode_164,7,70,0.09971509971509972
phecode_164,8,83,0.11823361823361823
phecode_164,9,77,0.10968660968660969
phecode_164,10,96,0.13675213675213677
phecode_726-1,1,4,0.005547850208044383
phecode_726-1,2,11,0.015277777777777777
phecode_726-1,3,5,0.006944444444444444
phecode_726-1,4,14,0.019444444444444445
phecode_726-1,5,20,0.027777777777777776
phecode_726-1,6,17,0.02361111111111111
phecode_726-1,7,18,0.025
phecode_726-1,8,24,0.03333333333333333
phecode_726-1,9,41,0.05694444444444444
phecode_726-1,10,44,0.06111111111111111
phecode_371,1,11,0.016591251885369532
phecode_371,2,34,0.0513595166163142
phecode_371,3,39,0.05891238670694864
phecode_371,4,52,0.07854984894259819
phecode_371,5,72,0.10876132930513595
phecode_371,6,98,0.14803625377643503
phecode_371,7,130,0.19637462235649547
phecode_371,8,168,0.2537764350453172
phecode_371,9,224,0.338368580060423
phecode_371,10,289,0.43655589123867067
phecode_103,1,24,0.03409090909090909
phecode_103,2,55,0.078125
phecode_103,3,34,0.04836415362731152
phecode_103,4,55,0.07823613086770982
phecode_103,5,53,0.07539118065433854
phecode_103,6,49,0.06970128022759602
phecode_103,7,58,0.08250355618776671
phecode_103,8,75,0.10668563300142248
phecode_103,9,67,0.0953058321479374
phecode_103,10,89,0.12660028449502134
phecode_101,1,13,0.01813110181311018
phecode_101,2,18,0.025139664804469275
phecode_101,3,16,0.0223463687150838
phecode_101,4,18,0.025139664804469275
phecode_101,5,21,0.029329608938547486
phecode_101,6,18,0.025139664804469275
phecode_101,7,32,0.0446927374301676
phecode_101,8,29,0.040502793296089384
phecode_101,9,39,0.05446927374301676
phecode_101,10,29,0.040502793296089384
phecode_583,1,14,0.019363762102351315
phecode_583,2,13,0.017980636237897647
phecode_583,3,13,0.017980636237897647
phecode_583,4,35,0.048409405255878286
phecode_583,5,41,0.056708160442600276
phecode_583,6,44,0.060941828254847646
phecode_583,7,61,0.08448753462603878
phecode_583,8,69,0.09556786703601108
phecode_583,9,75,0.1038781163434903
phecode_583,10,107,0.1481994459833795
OMOP_4306655,1,2,0.002758620689655172
OMOP_4306655,2,4,0.005517241379310344
OMOP_4306655,3,6,0.008275862068965517
OMOP_4306655,4,5,0.006896551724137931
OMOP_4306655,5,5,0.006896551724137931
OMOP_4306655,6,10,0.013793103448275862
OMOP_4306655,7,12,0.016551724137931035
OMOP_4306655,8,22,0.030344827586206897
OMOP_4306655,9,17,0.023480662983425413
OMOP_4306655,10,28,0.03867403314917127
